"Num_Acc";"catr";"voie";"v1";"v2";"circ";"nbv";"vosp";"prof";"pr";"pr1";"plan";"lartpc";"larrout";"surf";"infra";"situ";"vma"
"202100000165";"4";"CRAU AVENUE DE LA";"0";"N/A";"2";"2";"0";"1";"1";"0";"1";"";" -1";"1";"0";"1";"30"
"202100000166";"2";"RN 1589 LA TRANSHUMANCE";"0";"N/A";"2";"2";"3";"1";"0";"0";"1";"";" -1";"1";"0";"1";"80"
"202100000167";"7";"CD16 (LE DELA)";"0";"N/A";"2";"2";"0";"2";"38";"0";"3";"";" -1";"1";"0";"1";"80"
"202100000168";"4";"CALAMEAU CHEMIN DE";"0";"N/A";"2";"2";"0";"1";"1";"0";"1";"";" -1";"1";"0";"1";"50"
"202100000169";"7";"D.51";"0";"N/A";" -1";"0";"0";"2";"1";"0";"2";"";" -1";"1";"0";"1";"80"
"202100000170";"7";"BELVAL CHEMIN DE";"0";"N/A";"2";"2";"0";"3";"1";"0";"4";"";" -1";"1";"0";"1";"80"
"202100000171";"4";"SEVERIERS (CHEMIN DES)";"0";"N/A";"3";"2";"0";"1";"0";"0";"1";"";" -1";"1";"0";"1";"50"
"202100000172";"4";"GRAILLE (AVENUE JEAN)";"0";"N/A";"1";"1";"0";"1";"0";"0";"1";"";" -1";"1";"0";"1";"50"
"202100000173";"4";"CLEMENCEAU (BOULEVARD GEORGES)";"0";"N/A";"2";"2";"0";"1";"(1)";"(1)";"1";"";" -1";"1";"0";"1";"30"
"202100000174";"1";"61";"0";"A";"1";"1";"0";"1";"264";"0";"3";"";" -1";"1";"3";"8";"70"
"202100000175";"3";"626";" -1";"N/A";"2";"2";"0";"2";"11";"300";"2";"";" -1";"1";"0";"1";"80"
"202100000176";"7";"SAINT JEAN (AVENUE DE)";"0";"N/A";" -1";"2";"0";"1";"0";"0";"1";"";" -1";"1";"6";"1";"30"
"202100000177";"3";"PARIS RUE DE";"0";"N/A";"2";"2";"0";"1";"0";"1";"1";"";" -1";"1";"0";"1";"30"
"202100000178";"4";"SOISSONS (AVENUE DE) 01";"0";"N/A";"2";"1";"0";"2";"0";"0";"1";"";" -1";"1";"0";"1";"50"
"202100000179";"4";"N/A";" -1";"N/A";"3";"3";"3";"1";"(1)";"(1)";"1";"";" -1";"1";"0";"1";"50"
"202100000180";"4";"N/A";" -1";"N/A";"2";" -1";"0";"1";"(1)";"(1)";"1";"";" -1";"1";"0";"1";"50"
"202100000181";"3";"N/A";" -1";"N/A";"2";"2";" -1";"1";"30";"105";"1";"";" -1";"1";"2";"1";"30"
"202100000182";"1";"43";" -1";"N/A";"3";"4";"0";"1";"69";"10";"1";"";" -1";"1";"0";"1";"130"
"202100000183";"3";"201";" -1";"N/A";"2";"2";"2";"1";"3";"90";"1";"";" -1";"1";" -1";"1";"70"
